epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4819,0.48398,3.56134,1.0692,0.33197,0.33151,0.24218,0.2226,0.37311,2.36146,0.70228,0.000127526,0.000127526,0.000127526
2,72.6234,0.27859,2.47875,0.94752,0.51844,0.60064,0.52883,0.49534,0.34713,1.52727,0.65547,0.000253327,0.000253327,0.000253327
3,108.138,0.25338,1.98872,0.92303,0.60407,0.63578,0.63609,0.60899,0.27978,1.30091,0.583,0.000376586,0.000376586,0.000376586
4,143.474,0.22687,1.7053,0.90157,0.58002,0.69689,0.67752,0.64866,0.27957,1.21146,0.58093,0.000373565,0.000373565,0.000373565
5,178.787,0.22,1.52844,0.89539,0.65163,0.71913,0.72599,0.69392,0.24471,1.01888,0.54695,0.000369754,0.000369754,0.000369754
6,214.931,0.20407,1.39432,0.88599,0.71927,0.81845,0.8317,0.78567,0.28363,0.83518,0.59041,0.000365942,0.000365942,0.000365942
7,250.35,0.19365,1.28756,0.88691,0.72198,0.76622,0.81929,0.78701,0.27283,0.88686,0.55491,0.000362131,0.000362131,0.000362131
8,286.066,0.18896,1.21508,0.88597,0.76395,0.81918,0.86649,0.82287,0.24115,0.72619,0.54054,0.000358319,0.000358319,0.000358319
9,322.359,0.17997,1.15035,0.88476,0.78123,0.88106,0.89097,0.84305,0.25266,0.66376,0.56358,0.000354508,0.000354508,0.000354508
10,358.888,0.17164,1.09865,0.87895,0.84864,0.82108,0.88932,0.8474,0.27726,0.62711,0.5815,0.000350697,0.000350697,0.000350697
11,396.024,0.17095,1.0439,0.87728,0.83058,0.81861,0.8948,0.85344,0.21493,0.63768,0.50757,0.000346885,0.000346885,0.000346885
12,433.672,0.17145,1.00767,0.87763,0.85536,0.84901,0.90887,0.86011,0.23971,0.58629,0.5501,0.000343074,0.000343074,0.000343074
13,469.504,0.1655,0.95998,0.87311,0.81308,0.88669,0.90867,0.86975,0.2453,0.54995,0.53727,0.000339262,0.000339262,0.000339262
14,505.688,0.16068,0.94254,0.87363,0.85496,0.86821,0.91943,0.87918,0.20403,0.54475,0.50433,0.00033545,0.00033545,0.00033545
15,541.634,0.16692,0.91281,0.87222,0.86482,0.89307,0.92757,0.87855,0.25528,0.53801,0.54362,0.000331639,0.000331639,0.000331639
16,578.2,0.15733,0.88623,0.86499,0.86406,0.87552,0.9326,0.89391,0.18644,0.49663,0.48214,0.000327827,0.000327827,0.000327827
17,614.051,0.15406,0.85972,0.86687,0.88752,0.87557,0.93401,0.89584,0.2239,0.50904,0.50546,0.000324016,0.000324016,0.000324016
18,649.954,0.15462,0.85216,0.86916,0.91117,0.87315,0.9386,0.89736,0.21024,0.48325,0.4967,0.000320204,0.000320204,0.000320204
19,686.039,0.14655,0.82968,0.86704,0.85899,0.90383,0.93291,0.88814,0.22086,0.49012,0.50306,0.000316393,0.000316393,0.000316393
20,722.105,0.14732,0.80143,0.86639,0.87277,0.91992,0.94583,0.90114,0.20535,0.46715,0.4987,0.000312581,0.000312581,0.000312581
21,758.027,0.14549,0.77076,0.8683,0.9116,0.8711,0.94659,0.90747,0.20095,0.43309,0.49843,0.00030877,0.00030877,0.00030877
22,794.055,0.15024,0.7828,0.87188,0.88702,0.87016,0.9186,0.88019,0.21953,0.50435,0.5122,0.000304958,0.000304958,0.000304958
23,830.478,0.14625,0.77142,0.86558,0.90561,0.88466,0.93724,0.89382,0.21859,0.48759,0.51494,0.000301147,0.000301147,0.000301147
24,866.306,0.14752,0.75549,0.86932,0.90374,0.92563,0.9538,0.90963,0.19795,0.40003,0.48918,0.000297335,0.000297335,0.000297335
25,902.217,0.14527,0.74575,0.86133,0.89844,0.91544,0.94827,0.90668,0.21086,0.44506,0.51835,0.000293524,0.000293524,0.000293524
26,938.065,0.13972,0.72714,0.86574,0.89489,0.90824,0.95113,0.90817,0.21661,0.39542,0.5092,0.000289712,0.000289712,0.000289712
27,973.577,0.1339,0.71495,0.86308,0.88145,0.9252,0.95653,0.91534,0.24382,0.43538,0.5586,0.000285901,0.000285901,0.000285901
28,1009.15,0.13567,0.7122,0.86417,0.90552,0.91947,0.94906,0.902,0.21984,0.43416,0.50724,0.000282089,0.000282089,0.000282089
29,1045.35,0.13413,0.68622,0.86271,0.90023,0.9082,0.95008,0.91286,0.19672,0.39928,0.4912,0.000278278,0.000278278,0.000278278
30,1081.06,0.13477,0.67992,0.85901,0.86514,0.92651,0.95141,0.90936,0.19627,0.41523,0.50005,0.000274466,0.000274466,0.000274466
31,1116.49,0.13402,0.67943,0.86481,0.88824,0.89567,0.95021,0.91088,0.20117,0.44183,0.50114,0.000270655,0.000270655,0.000270655
32,1151.9,0.13674,0.66798,0.86425,0.90354,0.91112,0.95908,0.91545,0.18682,0.3781,0.47876,0.000266843,0.000266843,0.000266843
33,1187.42,0.13464,0.64575,0.85995,0.92371,0.91605,0.96234,0.92311,0.20919,0.38499,0.50908,0.000263032,0.000263032,0.000263032
34,1222.96,0.12906,0.6498,0.85868,0.88594,0.9208,0.95198,0.90386,0.19355,0.41392,0.48871,0.00025922,0.00025922,0.00025922
35,1258.76,0.12629,0.63387,0.85748,0.918,0.93777,0.96125,0.91808,0.20645,0.36495,0.49905,0.000255409,0.000255409,0.000255409
36,1294.59,0.129,0.6091,0.85768,0.89149,0.92293,0.94269,0.90151,0.17953,0.425,0.46496,0.000251597,0.000251597,0.000251597
37,1330.47,0.12804,0.61434,0.85857,0.89503,0.9114,0.95143,0.91104,0.21488,0.41743,0.50664,0.000247786,0.000247786,0.000247786
38,1366.27,0.12793,0.60431,0.86063,0.90677,0.93454,0.95799,0.91839,0.20421,0.37328,0.4959,0.000243974,0.000243974,0.000243974
39,1401.91,0.12751,0.63095,0.86133,0.9055,0.91202,0.95152,0.91018,0.1955,0.42617,0.49387,0.000240163,0.000240163,0.000240163
40,1438.29,0.12654,0.60685,0.85789,0.89418,0.92422,0.95414,0.9146,0.19346,0.42102,0.48871,0.000236351,0.000236351,0.000236351
41,1475.06,0.13105,0.57625,0.86213,0.91363,0.91617,0.96081,0.91959,0.21142,0.40689,0.51402,0.00023254,0.00023254,0.00023254
42,1510.85,0.1231,0.59024,0.85636,0.89027,0.92711,0.96133,0.91346,0.1866,0.38137,0.47779,0.000228729,0.000228729,0.000228729
43,1547.17,0.1245,0.57467,0.8583,0.91439,0.92931,0.95611,0.91462,0.19262,0.37932,0.48079,0.000224917,0.000224917,0.000224917
44,1582.59,0.12409,0.55979,0.85709,0.91718,0.9343,0.95774,0.91126,0.19317,0.36235,0.48748,0.000221106,0.000221106,0.000221106
45,1618.5,0.12168,0.55881,0.85547,0.8994,0.93833,0.9552,0.91418,0.20334,0.39682,0.49678,0.000217294,0.000217294,0.000217294
46,1653.83,0.11847,0.55849,0.85404,0.91442,0.93869,0.96196,0.91699,0.19525,0.36055,0.4933,0.000213482,0.000213482,0.000213482
47,1689.38,0.12052,0.55779,0.85675,0.9028,0.92883,0.95747,0.91333,0.18345,0.35479,0.47715,0.000209671,0.000209671,0.000209671
48,1725.39,0.12129,0.56775,0.85554,0.91625,0.90572,0.95132,0.91005,0.18812,0.38352,0.4794,0.00020586,0.00020586,0.00020586
49,1760.89,0.11784,0.54215,0.85643,0.90821,0.93332,0.95866,0.91739,0.18672,0.33566,0.48294,0.000202048,0.000202048,0.000202048
50,1796.66,0.11962,0.52892,0.85455,0.90606,0.93128,0.95055,0.90884,0.19134,0.36712,0.489,0.000198236,0.000198236,0.000198236
51,1832.35,0.11594,0.51848,0.85417,0.91304,0.94398,0.95772,0.91677,0.18707,0.3455,0.47543,0.000194425,0.000194425,0.000194425
52,1868.09,0.11394,0.51978,0.85354,0.92217,0.92122,0.9572,0.9177,0.1615,0.32666,0.44731,0.000190613,0.000190613,0.000190613
53,1903.54,0.1146,0.52181,0.85702,0.92085,0.93359,0.95547,0.91229,0.17255,0.3414,0.46265,0.000186802,0.000186802,0.000186802
54,1938.88,0.11391,0.52723,0.85775,0.91245,0.95477,0.96035,0.91702,0.189,0.32854,0.47437,0.00018299,0.00018299,0.00018299
55,1974.61,0.11602,0.50977,0.85404,0.92935,0.93866,0.95424,0.91158,0.17713,0.34252,0.4665,0.000179179,0.000179179,0.000179179
56,2010.68,0.11394,0.50013,0.85592,0.91763,0.92856,0.95656,0.91222,0.17231,0.34327,0.46486,0.000175367,0.000175367,0.000175367
57,2046.62,0.11343,0.51874,0.85139,0.91012,0.93804,0.96055,0.91646,0.17714,0.33193,0.46903,0.000171556,0.000171556,0.000171556
58,2082.27,0.11109,0.50669,0.85698,0.92545,0.94417,0.96281,0.9214,0.18122,0.32576,0.47235,0.000167745,0.000167745,0.000167745
59,2117.68,0.11452,0.51439,0.85592,0.90403,0.93166,0.95384,0.9116,0.16486,0.33279,0.45557,0.000163933,0.000163933,0.000163933
60,2153.66,0.11217,0.48726,0.85465,0.90948,0.93908,0.9576,0.91725,0.16769,0.33381,0.4636,0.000160122,0.000160122,0.000160122
61,2188.98,0.11219,0.49489,0.85641,0.91662,0.94023,0.96208,0.92177,0.15697,0.30309,0.45284,0.00015631,0.00015631,0.00015631
62,2224.48,0.10862,0.48241,0.8543,0.92122,0.94479,0.9641,0.9194,0.16489,0.32198,0.45758,0.000152498,0.000152498,0.000152498
63,2260.54,0.10666,0.48244,0.85418,0.92271,0.94672,0.96127,0.91958,0.16125,0.30772,0.45465,0.000148687,0.000148687,0.000148687
64,2296.12,0.11048,0.48161,0.85758,0.92669,0.94785,0.96261,0.92605,0.18351,0.33332,0.48306,0.000144875,0.000144875,0.000144875
65,2331.54,0.10883,0.46809,0.85018,0.91857,0.93598,0.95719,0.91516,0.16647,0.31956,0.46156,0.000141064,0.000141064,0.000141064
66,2366.99,0.10389,0.47152,0.84972,0.91699,0.94812,0.96229,0.92088,0.1759,0.32102,0.46799,0.000137252,0.000137252,0.000137252
67,2402.53,0.10646,0.45532,0.84881,0.92237,0.94388,0.95607,0.9146,0.1661,0.32108,0.46108,0.000133441,0.000133441,0.000133441
68,2438.31,0.10609,0.45267,0.85411,0.93474,0.94221,0.96042,0.91868,0.17114,0.32564,0.46476,0.000129629,0.000129629,0.000129629
69,2474.23,0.10459,0.4657,0.85177,0.93339,0.94306,0.95874,0.91818,0.16754,0.31172,0.46259,0.000125818,0.000125818,0.000125818
70,2510.62,0.10337,0.44695,0.85126,0.92117,0.96203,0.96354,0.92101,0.18309,0.31278,0.47962,0.000122007,0.000122007,0.000122007
71,2546.16,0.10468,0.44101,0.85132,0.93421,0.95013,0.9651,0.92411,0.17512,0.29633,0.47338,0.000118195,0.000118195,0.000118195
72,2581.53,0.10297,0.44135,0.84914,0.9277,0.94027,0.96275,0.92285,0.17122,0.31737,0.46358,0.000114384,0.000114384,0.000114384
73,2617.1,0.10231,0.43319,0.84905,0.91778,0.93596,0.9583,0.91686,0.15686,0.30511,0.44752,0.000110572,0.000110572,0.000110572
74,2652.75,0.10284,0.43728,0.85169,0.92213,0.93831,0.96675,0.92313,0.15783,0.28087,0.45144,0.000106761,0.000106761,0.000106761
75,2687.92,0.10171,0.44001,0.84978,0.9398,0.93447,0.96303,0.92073,0.18178,0.31992,0.47622,0.000102949,0.000102949,0.000102949
76,2723.5,0.1006,0.42118,0.84675,0.94055,0.9387,0.96149,0.92035,0.16885,0.30466,0.46274,9.91375e-05,9.91375e-05,9.91375e-05
77,2759.32,0.10157,0.41516,0.84873,0.93629,0.94397,0.96328,0.92079,0.17258,0.29386,0.46924,9.5326e-05,9.5326e-05,9.5326e-05
78,2794.65,0.10261,0.42353,0.85243,0.92547,0.94789,0.96518,0.92397,0.16563,0.28357,0.46246,9.15145e-05,9.15145e-05,9.15145e-05
79,2830.78,0.0961,0.41331,0.85116,0.93141,0.94896,0.95989,0.91629,0.15977,0.29566,0.45776,8.7703e-05,8.7703e-05,8.7703e-05
80,2866.07,0.09751,0.39328,0.85015,0.9366,0.93521,0.95515,0.91469,0.15911,0.31648,0.45792,8.38915e-05,8.38915e-05,8.38915e-05
81,2901.36,0.09983,0.40989,0.84538,0.93606,0.93833,0.96203,0.92064,0.1621,0.29343,0.45836,8.008e-05,8.008e-05,8.008e-05
82,2936.67,0.09744,0.40943,0.84707,0.93536,0.94642,0.96297,0.92202,0.16147,0.29156,0.4572,7.62685e-05,7.62685e-05,7.62685e-05
83,2972.56,0.09578,0.40106,0.84732,0.93353,0.94527,0.96184,0.91918,0.15991,0.28687,0.45519,7.2457e-05,7.2457e-05,7.2457e-05
84,3008.18,0.09822,0.3946,0.85036,0.92152,0.94897,0.96264,0.92184,0.15477,0.29163,0.45078,6.86455e-05,6.86455e-05,6.86455e-05
85,3044.05,0.09408,0.38794,0.85013,0.9387,0.93895,0.96169,0.92228,0.16575,0.28985,0.45645,6.4834e-05,6.4834e-05,6.4834e-05
86,3079.55,0.09562,0.39348,0.84823,0.92536,0.94809,0.95959,0.91985,0.16813,0.30553,0.46521,6.10225e-05,6.10225e-05,6.10225e-05
87,3115.46,0.09112,0.38144,0.84709,0.93828,0.93815,0.96083,0.9226,0.1606,0.29795,0.45743,5.7211e-05,5.7211e-05,5.7211e-05
88,3150.78,0.09293,0.37492,0.8529,0.93209,0.93824,0.95782,0.91734,0.15821,0.29436,0.45503,5.33995e-05,5.33995e-05,5.33995e-05
89,3186.18,0.09503,0.37996,0.84942,0.92553,0.93752,0.95774,0.91717,0.16085,0.30057,0.45756,4.9588e-05,4.9588e-05,4.9588e-05
90,3222.46,0.08993,0.37174,0.84727,0.92667,0.94761,0.96067,0.92135,0.16252,0.29031,0.45949,4.57765e-05,4.57765e-05,4.57765e-05
91,3275.05,0.11024,0.16358,0.84755,0.92912,0.95536,0.95233,0.91223,0.16524,0.31881,0.45734,4.1965e-05,4.1965e-05,4.1965e-05
92,3310.05,0.10203,0.14381,0.84653,0.93411,0.95184,0.95796,0.9157,0.17879,0.31913,0.4731,3.81535e-05,3.81535e-05,3.81535e-05
93,3353.51,0.10055,0.1306,0.84551,0.92638,0.95461,0.95943,0.916,0.17199,0.29653,0.46461,3.4342e-05,3.4342e-05,3.4342e-05
94,3391.44,0.09979,0.12432,0.8492,0.91812,0.94494,0.9526,0.91125,0.16457,0.3263,0.45591,3.05305e-05,3.05305e-05,3.05305e-05
95,3426.83,0.09735,0.12212,0.84714,0.93278,0.95626,0.95909,0.91721,0.16563,0.29272,0.45848,2.6719e-05,2.6719e-05,2.6719e-05
96,3462.46,0.09799,0.11966,0.85029,0.93559,0.94272,0.95889,0.91866,0.16764,0.30014,0.45986,2.29075e-05,2.29075e-05,2.29075e-05
97,3497.83,0.09435,0.11365,0.84237,0.9327,0.94667,0.96119,0.91981,0.17239,0.30831,0.46721,1.9096e-05,1.9096e-05,1.9096e-05
98,3532.73,0.09278,0.11746,0.84376,0.9273,0.95058,0.96147,0.92107,0.16267,0.29403,0.45466,1.52845e-05,1.52845e-05,1.52845e-05
99,3567.89,0.09181,0.11381,0.84307,0.93423,0.95409,0.96196,0.92124,0.16671,0.28994,0.46006,1.1473e-05,1.1473e-05,1.1473e-05
100,3603.1,0.0923,0.11059,0.84442,0.94287,0.95104,0.96104,0.91954,0.16672,0.29405,0.45992,7.6615e-06,7.6615e-06,7.6615e-06
