epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1445,1.25765,1.88454,0.99218,0.92519,0.70324,0.74975,0.5129,1.14117,1.23065,0.9558,0.000661905,0.000661905,0.000661905
2,112.173,1.27681,1.20149,1.00353,0.8362,0.69783,0.77499,0.4604,1.28001,0.98581,0.99536,0.00131542,0.00131542,0.00131542
3,160.327,1.24749,0.9893,1.00171,0.90513,0.69964,0.76723,0.50833,1.13232,0.83692,0.99453,0.00195573,0.00195573,0.00195573
4,205.821,1.23093,0.89899,0.99909,0.91355,0.72482,0.78493,0.51843,1.10037,0.91656,0.98211,0.0019406,0.0019406,0.0019406
5,265.116,1.19986,0.88097,0.9876,0.91296,0.73741,0.80012,0.53792,1.09361,0.75754,0.96121,0.0019208,0.0019208,0.0019208
6,314.118,1.1526,0.78751,0.9718,0.90652,0.68345,0.7863,0.53908,1.06947,0.80077,0.97151,0.001901,0.001901,0.001901
7,370.753,1.11629,0.75144,0.96131,0.89152,0.72842,0.80509,0.54424,1.06382,0.73552,0.96877,0.0018812,0.0018812,0.0018812
8,426.558,1.12155,0.74861,0.96591,0.91476,0.73341,0.80527,0.56625,0.98357,0.70304,0.95137,0.0018614,0.0018614,0.0018614
9,478.859,1.12707,0.74605,0.97181,0.95954,0.71583,0.83061,0.59421,0.94812,0.65375,0.94276,0.0018416,0.0018416,0.0018416
10,528.771,1.08729,0.71109,0.95373,0.91361,0.75719,0.83372,0.58602,1.00867,0.64795,0.93902,0.0018218,0.0018218,0.0018218
11,583.326,1.07443,0.68868,0.9536,0.92332,0.75802,0.84369,0.60005,0.93222,0.6272,0.93672,0.001802,0.001802,0.001802
12,626.842,1.08485,0.68946,0.95042,0.9164,0.72951,0.82038,0.57936,0.95998,0.68726,0.92369,0.0017822,0.0017822,0.0017822
13,670.696,1.07396,0.68168,0.94912,0.92316,0.74281,0.83654,0.59715,0.94287,0.61773,0.92436,0.0017624,0.0017624,0.0017624
14,714.747,1.00492,0.64809,0.93169,0.90544,0.77501,0.83483,0.60522,0.9174,0.59157,0.9205,0.0017426,0.0017426,0.0017426
15,758.438,1.05389,0.66519,0.94795,0.91921,0.75717,0.83694,0.59022,0.97224,0.65062,0.93573,0.0017228,0.0017228,0.0017228
16,802.671,1.06283,0.6667,0.94592,0.94399,0.7464,0.84438,0.61226,0.92398,0.60365,0.91964,0.001703,0.001703,0.001703
17,847.218,1.03194,0.63843,0.9379,0.92025,0.76785,0.84504,0.60371,0.91438,0.58954,0.92447,0.0016832,0.0016832,0.0016832
18,891.86,1.0172,0.63254,0.93273,0.92967,0.7536,0.83727,0.59765,0.94348,0.63994,0.93544,0.0016634,0.0016634,0.0016634
19,936.626,1.02655,0.6373,0.93465,0.91692,0.77411,0.85466,0.62697,0.88448,0.56774,0.91516,0.0016436,0.0016436,0.0016436
20,981.034,1.00302,0.6118,0.92626,0.93136,0.75653,0.85991,0.61923,0.92137,0.57219,0.91664,0.0016238,0.0016238,0.0016238
21,1025.59,1.00452,0.61517,0.93457,0.93685,0.74706,0.83586,0.60126,0.96822,0.56703,0.91784,0.001604,0.001604,0.001604
22,1070.19,0.97375,0.59022,0.92461,0.91127,0.75899,0.8485,0.61704,0.89572,0.5757,0.92102,0.0015842,0.0015842,0.0015842
23,1114.85,1.01208,0.60539,0.93463,0.94538,0.74281,0.85136,0.62868,0.90279,0.55314,0.9239,0.0015644,0.0015644,0.0015644
24,1159.56,0.97468,0.58404,0.92242,0.9307,0.75719,0.84268,0.61071,0.9338,0.5764,0.91878,0.0015446,0.0015446,0.0015446
25,1204.33,0.97586,0.58065,0.92327,0.93952,0.75899,0.85191,0.62994,0.89259,0.56291,0.91263,0.0015248,0.0015248,0.0015248
26,1248.67,0.98982,0.59085,0.9281,0.94541,0.74749,0.84835,0.61592,0.88498,0.59667,0.91896,0.001505,0.001505,0.001505
27,1292.75,0.97721,0.59528,0.92466,0.92011,0.76646,0.85731,0.63012,0.89493,0.552,0.91122,0.0014852,0.0014852,0.0014852
28,1337.04,0.98536,0.58321,0.92024,0.92734,0.76978,0.85202,0.61018,0.9489,0.56418,0.91536,0.0014654,0.0014654,0.0014654
29,1381.44,0.94647,0.56365,0.9131,0.95416,0.75719,0.85439,0.63344,0.87202,0.54493,0.90302,0.0014456,0.0014456,0.0014456
30,1425.93,0.97019,0.56403,0.91609,0.94017,0.76305,0.862,0.62275,0.90835,0.54544,0.92171,0.0014258,0.0014258,0.0014258
31,1470.68,0.97189,0.57964,0.91918,0.92158,0.78209,0.86183,0.6281,0.8967,0.53542,0.90837,0.001406,0.001406,0.001406
32,1514.77,0.98314,0.58141,0.91983,0.95265,0.75987,0.85229,0.62751,0.88105,0.55563,0.90493,0.0013862,0.0013862,0.0013862
33,1558.86,0.97383,0.5705,0.91675,0.94139,0.76079,0.86353,0.6386,0.86654,0.52518,0.90536,0.0013664,0.0013664,0.0013664
34,1603.57,0.95892,0.5739,0.91624,0.95373,0.76259,0.85509,0.62957,0.86782,0.57146,0.90651,0.0013466,0.0013466,0.0013466
35,1648,0.9374,0.54768,0.909,0.92826,0.77518,0.86801,0.64758,0.85208,0.50977,0.90604,0.0013268,0.0013268,0.0013268
36,1692.54,0.93127,0.53979,0.9101,0.94955,0.76619,0.86165,0.63988,0.86482,0.54385,0.90317,0.001307,0.001307,0.001307
37,1737.02,0.92778,0.5452,0.91455,0.94,0.7554,0.85295,0.61123,0.92088,0.55099,0.91243,0.0012872,0.0012872,0.0012872
38,1781.12,0.92707,0.5543,0.90674,0.91063,0.78237,0.86338,0.63141,0.87453,0.53566,0.90165,0.0012674,0.0012674,0.0012674
39,1825.84,0.91893,0.5379,0.90704,0.93859,0.76965,0.86592,0.63841,0.85197,0.52533,0.90263,0.0012476,0.0012476,0.0012476
40,1870.24,0.91327,0.53361,0.90309,0.94158,0.78261,0.8689,0.64526,0.85418,0.52247,0.90287,0.0012278,0.0012278,0.0012278
41,1914.63,0.9223,0.54255,0.90747,0.94672,0.77158,0.86615,0.64737,0.84172,0.51688,0.90444,0.001208,0.001208,0.001208
42,1959.2,0.91359,0.53343,0.90122,0.93173,0.78542,0.86661,0.65094,0.85314,0.51647,0.90328,0.0011882,0.0011882,0.0011882
43,2003.27,0.91194,0.53395,0.90242,0.94898,0.76946,0.87112,0.6408,0.88985,0.51222,0.90471,0.0011684,0.0011684,0.0011684
44,2047.26,0.90551,0.52923,0.90364,0.9293,0.78237,0.86421,0.63709,0.87048,0.50847,0.9027,0.0011486,0.0011486,0.0011486
45,2092.56,0.89615,0.51718,0.89923,0.92708,0.7774,0.87542,0.65179,0.84526,0.49326,0.89364,0.0011288,0.0011288,0.0011288
46,2135.67,0.89685,0.51998,0.89534,0.92659,0.79454,0.87144,0.64563,0.84972,0.49263,0.89993,0.001109,0.001109,0.001109
47,2179.06,0.90232,0.51303,0.89824,0.95307,0.78237,0.86449,0.63863,0.84305,0.51133,0.89558,0.0010892,0.0010892,0.0010892
48,2223.56,0.90141,0.5135,0.89968,0.9405,0.77698,0.86478,0.64253,0.84091,0.50771,0.90307,0.0010694,0.0010694,0.0010694
49,2267.91,0.90582,0.51621,0.90114,0.96349,0.75719,0.86135,0.63733,0.86446,0.5084,0.89792,0.0010496,0.0010496,0.0010496
50,2312.08,0.88362,0.51099,0.89752,0.93633,0.77518,0.86423,0.64243,0.84782,0.50142,0.8961,0.0010298,0.0010298,0.0010298
51,2356.3,0.88336,0.51271,0.89447,0.93954,0.78261,0.87048,0.65889,0.8068,0.48864,0.88986,0.00101,0.00101,0.00101
52,2400.61,0.90309,0.52265,0.90151,0.93144,0.79496,0.87818,0.66215,0.81458,0.48318,0.88418,0.0009902,0.0009902,0.0009902
53,2445.02,0.9042,0.52242,0.89947,0.95175,0.77338,0.86922,0.65076,0.82925,0.48558,0.89614,0.0009704,0.0009704,0.0009704
54,2488.85,0.88075,0.50744,0.90091,0.9301,0.7897,0.87763,0.652,0.8334,0.49429,0.89517,0.0009506,0.0009506,0.0009506
55,2532.72,0.87177,0.49797,0.89991,0.95085,0.75719,0.87792,0.64858,0.88936,0.49664,0.9045,0.0009308,0.0009308,0.0009308
56,2576.76,0.8923,0.50709,0.89688,0.94806,0.76978,0.8687,0.64666,0.83317,0.48682,0.89215,0.000911,0.000911,0.000911
57,2621.17,0.85968,0.49271,0.8906,0.9412,0.78417,0.87916,0.65762,0.82431,0.49051,0.88883,0.0008912,0.0008912,0.0008912
58,2665.45,0.85303,0.49374,0.88898,0.96413,0.77346,0.87747,0.66239,0.81265,0.48935,0.88545,0.0008714,0.0008714,0.0008714
59,2709.42,0.84034,0.48653,0.88649,0.96515,0.77518,0.8776,0.65928,0.81205,0.48475,0.8885,0.0008516,0.0008516,0.0008516
60,2753.63,0.86629,0.50069,0.89284,0.95613,0.77338,0.86831,0.64849,0.83444,0.48719,0.89403,0.0008318,0.0008318,0.0008318
